pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
K2-192 b,K2-192,1,1.52,0.13,-0.13,4.162817,0.000432,-0.000447,939.0,10.0,-10.0,5222.0,48.0,-48.0,0.81,0.01,-0.01,0.9,0.01,-0.01,0.13,0.0004395,10.0,0.01,0.01,0.01,0
K2-193 b,K2-193,1,3.95,0.12,-0.12,14.786889,0.000803,-0.00081,739.0,24.0,-24.0,5817.0,173.0,-173.0,0.98,0.02,-0.02,1.01,0.05,-0.05,0.12,0.0008064999999999999,24.0,0.02,0.02,0.05,0
K2-195 b,K2-195,1,3.13,0.12,-0.12,15.852975,0.001201,-0.001168,720.0,14.0,-14.0,5713.0,87.0,-87.0,0.99,0.02,-0.02,0.94,0.04,-0.04,0.12,0.0011845,14.0,0.02,0.02,0.04,0
K2-197 b,K2-197,1,2.56,0.16,-0.16,8.357881,0.00071,-0.000686,848.0,11.0,-11.0,5667.0,58.0,-58.0,0.93,0.01,-0.01,1.0,0.02,-0.02,0.16,0.000698,11.0,0.01,0.01,0.02,0
K2-198 b,K2-198,1,4.189,0.228,-0.098,17.0428683,7.1e-06,-3.5e-06,715.8,18.72,-9.26,5212.9,99.0,-49.2,0.757,0.035,-0.016,0.799,0.091,-0.045,0.163,5.3e-06,13.989999999999998,0.025500000000000002,0.025500000000000002,0.068,0
K2-198 c,K2-198,1,1.423,0.081,-0.036,3.3596055,4e-06,-2.1e-06,1229.9,32.2,-15.9,5212.9,99.0,-49.2,0.757,0.035,-0.016,0.799,0.091,-0.045,0.058499999999999996,3.0499999999999996e-06,24.05,0.025500000000000002,0.025500000000000002,0.068,0
K2-198 d,K2-198,1,2.438,0.13,-0.056,7.4500177,5.2e-06,-2.6e-06,943.2,24.7,-12.2,5212.9,99.0,-49.2,0.757,0.035,-0.016,0.799,0.091,-0.045,0.093,3.9e-06,18.45,0.025500000000000002,0.025500000000000002,0.068,0
K2-199 b,K2-199,1,1.73,0.05,-0.04,3.2253993,2.4e-06,-2.4e-06,913.0,23.0,-23.0,4491.0,100.0,-100.0,0.682,0.014,-0.014,0.711,0.022,-0.024,0.045,2.4e-06,23.0,0.014,0.014,0.023,0
K2-199 c,K2-199,1,2.85,0.1,-0.09,7.3744897,3.7e-06,-3.7e-06,694.0,17.0,-17.0,4491.0,100.0,-100.0,0.682,0.014,-0.014,0.711,0.022,-0.024,0.095,3.7e-06,17.0,0.014,0.014,0.023,0
K2-203 b,K2-203,1,1.26549392,0.10200172,-0.07958376,9.6952,0.0014,-0.0014,738.4,8.0,-7.9,5026.0,82.0,-81.0,0.765,0.024,-0.023,0.793,0.033,-0.029,0.09079274000000001,0.0014,7.95,0.0235,0.0235,0.031,0
K2-204 b,K2-204,1,3.17214154,0.17934369,-0.15692573,7.055908,5.8e-05,-7.4e-05,1148.0,25.0,-24.0,5783.0,100.0,-98.0,1.253,0.055,-0.053,1.076,0.092,-0.086,0.16813471000000002,6.6e-05,24.5,0.054,0.054,0.089,0
K2-208 b,K2-208,1,1.67462172,0.12329879,-0.09191364,4.19097,0.00023,-0.00023,1122.0,15.0,-14.0,5500.0,100.0,-100.0,0.872,0.033,-0.03,0.881,0.045,-0.042,0.107606215,0.00023,14.5,0.0315,0.0315,0.0435,0
K2-211 b,K2-211,1,1.33162691,0.08743005,-0.07173748,0.669561,3.1e-05,-3.2e-05,1873.0,22.0,-21.0,5117.0,85.0,-86.0,0.818,0.029,-0.027,0.851,0.039,-0.035,0.079583765,3.15e-05,21.5,0.028,0.028,0.037000000000000005,0
K2-214 b,K2-214,1,2.51,0.14,-0.07,8.59656,0.00051,-0.00051,1001.0,27.0,-27.0,5875.0,100.0,-100.0,1.236,0.047,-0.047,1.03,0.05,-0.05,0.10500000000000001,0.00051,27.0,0.047,0.047,0.05,0
K2-216 b,K2-216,1,1.75,0.17,-0.1,2.1748,5e-05,-5e-05,1103.0,180.0,-56.0,4503.0,69.0,-69.0,0.72,0.03,-0.03,0.7,0.03,-0.03,0.135,5e-05,118.0,0.03,0.03,0.03,0
K2-220 b,K2-220,1,2.37,0.14,-0.07,13.68186,0.00095,-0.00095,761.0,21.0,-21.0,5612.0,100.0,-100.0,1.026,0.04,-0.04,0.91,0.04,-0.04,0.10500000000000001,0.00095,21.0,0.04,0.04,0.04,0
K2-222 b,K2-222,1,2.35,0.08,-0.07,15.38857,0.00088,-0.00088,871.0,23.0,-23.0,5942.0,119.0,-119.0,1.115,0.029,-0.029,0.989,0.07,-0.065,0.07500000000000001,0.00088,23.0,0.029,0.029,0.0675,0
K2-224 b,K2-224,1,1.56,0.16,-0.14,4.47904,0.00116,-0.00132,1002.0,11.0,-11.0,5620.0,42.0,-45.0,0.84,0.01,-0.01,0.91,0.02,-0.02,0.15000000000000002,0.00124,11.0,0.01,0.01,0.02,0
K2-224 c,K2-224,1,2.41,0.16,-0.12,10.09489,0.00119,-0.00114,764.0,9.0,-9.0,5620.0,42.0,-45.0,0.84,0.01,-0.01,0.91,0.02,-0.02,0.14,0.001165,9.0,0.01,0.01,0.02,0
K2-225 b,K2-225,1,3.60929179,0.28022452,-0.22417961,15.8723,0.0021,-0.0019,923.0,13.0,-14.0,5520.0,140.0,-140.0,1.7,0.094,-0.087,1.482,0.11,-0.096,0.252202065,0.002,13.5,0.0905,0.0905,0.10300000000000001,0
K2-226 b,K2-226,1,1.53899305,0.10312262,-0.08630915,3.27109,0.00036,-0.00039,1187.0,16.0,-17.0,5288.0,99.0,-99.0,0.889,0.034,-0.032,0.856,0.042,-0.03,0.094715885,0.000375,16.5,0.033,0.033,0.036000000000000004,0
K2-228 b,K2-228,1,1.21,0.1,-0.06,2.69828,0.00022,-0.00022,914.0,14.0,-13.0,4715.0,48.0,-46.0,0.65,0.01,-0.01,0.71,0.02,-0.02,0.08,0.00022,13.5,0.01,0.01,0.02,0
K2-229 c,K2-229,1,2.03,0.12,-0.06,8.32727,0.00041,-0.00043,750.0,6.0,-6.0,5315.0,35.0,-31.0,0.79,0.01,-0.01,0.87,0.01,-0.01,0.09,0.00042,6.0,0.01,0.01,0.01,0
K2-230 b,K2-230,1,1.96,0.18,-0.16,2.86041,0.00061,-0.00061,1529.0,22.0,-22.0,5945.0,23.0,-25.0,1.39,0.04,-0.04,1.11,0.02,-0.02,0.16999999999999998,0.00061,22.0,0.04,0.04,0.02,0
K2-232 b,K2-232,1,11.209,0.246598,-0.22418,11.168454,2.3e-05,-2.3e-05,1030.0,15.0,-15.0,6154.0,60.0,-60.0,1.161,0.024,-0.024,1.188,0.028,-0.026,0.23538900000000001,2.3e-05,15.0,0.024,0.024,0.027,0
K2-233 b,K2-233,1,1.315,0.036,-0.036,2.467583,6.2e-05,-6.7e-05,1127.0,14.0,-14.0,4796.0,66.0,-66.0,0.71,0.01,-0.01,0.79,0.01,-0.01,0.036,6.45e-05,14.0,0.01,0.01,0.01,0
K2-233 c,K2-233,1,1.272,0.038,-0.038,7.06024,0.00044,-0.00043,794.0,10.0,-10.0,4796.0,66.0,-66.0,0.71,0.01,-0.01,0.79,0.01,-0.01,0.038,0.000435,10.0,0.01,0.01,0.01,0
K2-233 d,K2-233,1,2.363,0.062,-0.062,24.3681,0.0013,-0.0014,525.0,6.0,-6.0,4796.0,66.0,-66.0,0.71,0.01,-0.01,0.79,0.01,-0.01,0.062,0.00135,6.0,0.01,0.01,0.01,0
K2-237 b,K2-237,1,16.06246934,0.62770292,-0.54924005,2.18053332,5.4e-07,-5.4e-07,1759.0,49.0,-42.0,6180.0,160.0,-140.0,1.236,0.043,-0.036,1.256,0.055,-0.062,0.588471485,5.4e-07,45.5,0.03949999999999999,0.03949999999999999,0.058499999999999996,0
K2-238 b,K2-238,1,14.5717,1.68135,-1.56926,3.20466,3e-05,-3e-05,1587.0,75.0,-76.0,5630.0,78.0,-78.0,1.59,0.16,-0.16,1.19,0.08,-0.08,1.625305,3e-05,75.5,0.16,0.16,0.08,0
K2-239 b,K2-239,1,1.1,0.1,-0.1,5.24,0.001,-0.001,502.0,22.0,-18.0,3420.0,18.0,-18.0,0.36,0.01,-0.01,0.4,0.01,-0.01,0.1,0.001,20.0,0.01,0.01,0.01,0
K2-239 c,K2-239,1,1.0,0.1,-0.1,7.775,0.001,-0.001,427.0,24.0,-19.0,3420.0,18.0,-18.0,0.36,0.01,-0.01,0.4,0.01,-0.01,0.1,0.001,21.5,0.01,0.01,0.01,0
K2-239 d,K2-239,1,1.1,0.1,-0.1,10.115,0.001,-0.001,399.0,18.0,-15.0,3420.0,18.0,-18.0,0.36,0.01,-0.01,0.4,0.01,-0.01,0.1,0.001,16.5,0.01,0.01,0.01,0
K2-240 b,K2-240,1,2.0,0.2,-0.1,6.034,0.001,-0.001,586.0,24.0,-18.0,3810.0,17.0,-17.0,0.54,0.01,-0.01,0.58,0.01,-0.01,0.15000000000000002,0.001,21.0,0.01,0.01,0.01,0
K2-240 c,K2-240,1,1.8,0.3,-0.1,20.523,0.001,-0.001,389.0,19.0,-17.0,3810.0,17.0,-17.0,0.54,0.01,-0.01,0.58,0.01,-0.01,0.2,0.001,18.0,0.01,0.01,0.01,0
K2-241 b,K2-241,1,2.55,0.18,-0.1,26.8199,0.00245,-0.00247,507.0,5.0,-5.0,5262.0,43.0,-39.0,0.75,0.01,-0.01,0.71,0.01,-0.01,0.14,0.00246,5.0,0.01,0.01,0.01,0
K2-242 b,K2-242,1,2.54,0.21,-0.19,6.51389,0.00082,-0.00083,416.0,8.0,-8.0,3459.0,65.0,-38.0,0.37,0.01,-0.01,0.38,0.01,-0.01,0.2,0.000825,8.0,0.01,0.01,0.01,0
K2-243 b,K2-243,1,2.17,0.14,-0.12,11.54182,0.00272,-0.00221,1035.0,36.0,-35.0,6570.0,269.0,-171.0,1.39,0.03,-0.03,1.29,0.04,-0.06,0.13,0.002465,35.5,0.03,0.03,0.05,0
K2-243 c,K2-243,1,2.01,0.15,-0.13,24.94598,0.00491,-0.00561,801.0,27.0,-28.0,6570.0,269.0,-171.0,1.39,0.03,-0.03,1.29,0.04,-0.06,0.14,0.005260000000000001,27.5,0.03,0.03,0.05,0
K2-244 b,K2-244,1,1.75,0.13,-0.1,21.06884,0.0032,-0.00325,638.0,7.0,-7.0,5677.0,38.0,-39.0,0.92,0.02,-0.01,0.86,0.02,-0.02,0.115,0.003225,7.0,0.015,0.015,0.02,0
K2-245 b,K2-245,1,4.34,0.19,-0.14,11.89307,0.00065,-0.00063,923.0,14.0,-14.0,5793.0,66.0,-52.0,1.25,0.03,-0.03,0.83,0.02,-0.01,0.165,0.0006399999999999999,14.0,0.03,0.03,0.015,0
K2-246 b,K2-246,1,3.49,0.25,-0.21,5.76918,0.00081,-0.00082,977.0,19.0,-18.0,5610.0,32.0,-29.0,0.94,0.03,-0.03,0.87,0.02,-0.02,0.22999999999999998,0.000815,18.5,0.03,0.03,0.02,0
K2-247 b,K2-247,1,2.12,0.19,-0.16,2.25021,0.00033,-0.00036,979.0,52.0,-51.0,4667.0,305.0,-183.0,0.69,0.02,-0.01,0.74,0.03,-0.03,0.175,0.00034500000000000004,51.5,0.015,0.015,0.03,0
K2-247 c,K2-247,1,2.19,0.25,-0.23,6.49424,0.0026,-0.00251,688.0,36.0,-35.0,4667.0,305.0,-183.0,0.69,0.02,-0.01,0.74,0.03,-0.03,0.24,0.002555,35.5,0.015,0.015,0.03,0
K2-248 b,K2-248,1,2.57,0.2,-0.14,7.17256,0.00148,-0.00142,886.0,19.0,-18.0,5528.0,97.0,-86.0,0.92,0.02,-0.02,0.88,0.04,-0.03,0.17,0.00145,18.5,0.02,0.02,0.035,0
K2-249 b,K2-249,1,2.79,0.27,-0.22,12.409,0.00337,-0.00284,1061.0,66.0,-66.0,6504.0,329.0,-419.0,1.57,0.06,-0.06,1.32,0.09,-0.12,0.245,0.003105,66.0,0.06,0.06,0.105,0
K2-25 b,K2-25,1,3.44,0.12,-0.12,3.48456408,6e-07,-5e-07,494.0,11.0,-11.0,3207.0,58.0,-58.0,0.2932,0.0093,-0.0093,0.2634,0.0077,-0.0077,0.12,5.5e-07,11.0,0.0093,0.0093,0.0077,0
K2-250 b,K2-250,1,2.71257333,0.17934369,-0.13450777,4.01392,0.00029,-0.00029,1003.0,14.0,-14.0,5003.0,94.0,-94.0,0.797,0.029,-0.027,0.809,0.044,-0.036,0.15692572999999999,0.00029,14.0,0.028,0.028,0.039999999999999994,0
K2-251 b,K2-251,1,2.35,0.26,-0.21,9.30075,0.00332,-0.00321,437.0,9.0,-9.0,3717.0,85.0,-50.0,0.49,0.01,-0.01,0.52,0.01,-0.01,0.235,0.003265,9.0,0.01,0.01,0.01,0
K2-252 b,K2-252,1,1.74,0.17,-0.12,13.81513,0.00461,-0.00448,639.0,7.0,-7.0,5152.0,41.0,-39.0,0.82,0.01,-0.01,0.79,0.02,-0.01,0.14500000000000002,0.004545,7.0,0.01,0.01,0.015,0
K2-253 b,K2-253,1,12.67,0.69,-0.61,4.00167,0.00013,-0.00013,1238.0,57.0,-53.0,6027.0,221.0,-240.0,1.1,0.04,-0.04,1.08,0.05,-0.08,0.6499999999999999,0.00013,55.0,0.04,0.04,0.065,0
K2-254 b,K2-254,1,1.63,0.28,-0.24,4.09639,0.00081,-0.00079,791.0,26.0,-26.0,4629.0,168.0,-123.0,0.67,0.01,-0.01,0.71,0.02,-0.03,0.26,0.0007999999999999999,26.0,0.01,0.01,0.025,0
K2-254 c,K2-254,1,2.19,0.24,-0.18,12.11839,0.00303,-0.00321,551.0,18.0,-18.0,4629.0,168.0,-123.0,0.67,0.01,-0.01,0.71,0.02,-0.03,0.21,0.0031200000000000004,18.0,0.01,0.01,0.025,0
K2-255 b,K2-255,1,2.9,0.28,-0.11,1.96417,4e-05,-4e-05,1034.0,17.0,-17.0,4676.0,63.0,-61.0,0.69,0.01,-0.01,0.71,0.03,-0.03,0.195,4e-05,17.0,0.01,0.01,0.03,0
K2-257 b,K2-257,1,0.83,0.06,-0.05,1.60588,0.00014,-0.00013,789.0,14.0,-14.0,3725.0,80.0,-46.0,0.5,0.01,-0.01,0.52,0.01,-0.01,0.055,0.00013499999999999997,14.0,0.01,0.01,0.01,0
K2-258 b,K2-258,1,3.0,0.21,-0.2,19.0921,0.00576,-0.00633,831.0,30.0,-30.0,6351.0,198.0,-228.0,1.31,0.03,-0.03,1.21,0.05,-0.08,0.20500000000000002,0.006045,30.0,0.03,0.03,0.065,0
K2-259 b,K2-259,1,2.32,0.2,-0.17,15.48043,0.00332,-0.00392,795.0,13.0,-13.0,6059.0,62.0,-76.0,1.13,0.03,-0.02,1.14,0.03,-0.03,0.185,0.00362,13.0,0.025,0.025,0.03,0
K2-26 b,K2-26,1,2.67,0.46,-0.42,14.5665,0.0016,-0.002,430.0,,,3785.0,185.0,-185.0,0.52,0.08,-0.08,0.56,0.1,-0.1,0.44,0.0018,0.0,0.08,0.08,0.1,0
K2-260 b,K2-260,1,18.41635529,0.65012088,-0.81825559,2.62669762,6.6e-07,-6.6e-07,2090.0,35.0,-39.0,6860.0,150.0,-160.0,1.755,0.061,-0.078,1.637,0.065,-0.069,0.734188235,6.6e-07,37.0,0.0695,0.0695,0.067,0
K2-261 b,K2-261,1,9.26982704,0.36989636,-0.33626942,11.6334681,4.4e-06,-4.4e-06,1036.0,10.0,-10.0,5490.0,110.0,-110.0,1.663,0.071,-0.068,1.107,0.042,-0.047,0.35308289,4.4e-06,10.0,0.0695,0.0695,0.0445,0
K2-263 b,K2-263,1,2.41,0.12,-0.12,50.818947,9.4e-05,-9.4e-05,470.0,7.0,-7.0,5368.0,44.0,-44.0,0.85,0.02,-0.02,0.88,0.03,-0.03,0.12,9.4e-05,7.0,0.02,0.02,0.03,0
K2-264 b,K2-264,1,2.231,0.151,-0.145,5.840002,0.000676,-0.000602,496.0,10.0,-10.0,3660.0,80.0,-45.0,0.473,0.011,-0.011,0.496,0.013,-0.013,0.148,0.000639,10.0,0.011,0.011,0.013,0
K2-264 c,K2-264,1,2.668,0.201,-0.194,19.660302,0.003496,-0.003337,331.0,7.0,-7.0,3660.0,80.0,-45.0,0.473,0.011,-0.011,0.496,0.013,-0.013,0.1975,0.0034165000000000003,7.0,0.011,0.011,0.013,0
K2-265 b,K2-265,1,1.70824866,0.11208981,-0.08070466,2.36902,5.8e-05,-5.9e-05,1366.0,17.0,-17.0,5420.0,100.0,-100.0,0.92,0.034,-0.032,0.901,0.051,-0.042,0.096397235,5.85e-05,17.0,0.033,0.033,0.0465,0
K2-266 b,K2-266,1,3.3,1.8,-1.3,0.658524,1.7e-05,-1.7e-05,1515.0,18.0,-18.0,4285.0,49.0,-57.0,0.703,0.024,-0.022,0.686,0.033,-0.033,1.55,1.7e-05,18.0,0.023,0.023,0.033,0
K2-266 c,K2-266,1,0.705,0.096,-0.085,7.814,0.0019,-0.0016,664.5,8.0,-7.7,4285.0,49.0,-57.0,0.703,0.024,-0.022,0.686,0.033,-0.033,0.0905,0.00175,7.85,0.023,0.023,0.033,0
K2-266 d,K2-266,1,2.93,0.14,-0.12,14.697,0.00034,-0.00035,538.3,6.5,-6.3,4285.0,49.0,-57.0,0.703,0.024,-0.022,0.686,0.033,-0.033,0.13,0.00034500000000000004,6.4,0.023,0.023,0.033,0
K2-266 e,K2-266,1,2.73,0.14,-0.11,19.482,0.0012,-0.0012,490.1,5.9,-5.7,4285.0,49.0,-57.0,0.703,0.024,-0.022,0.686,0.033,-0.033,0.125,0.0012,5.800000000000001,0.023,0.023,0.033,0
K2-268 b,K2-268,1,1.5,0.12,-0.07,2.151676,5e-06,-6e-06,1136.0,18.0,-19.0,5106.0,70.0,-61.0,0.78,0.02,-0.02,0.84,0.02,-0.02,0.095,5.5e-06,18.5,0.02,0.02,0.02,0
K2-268 c,K2-268,1,2.69,0.77,-0.21,9.327527,2.1e-05,-2e-05,696.0,12.0,-13.0,5106.0,70.0,-61.0,0.78,0.02,-0.02,0.84,0.02,-0.02,0.49,2.05e-05,12.5,0.02,0.02,0.02,0
K2-268 d,K2-268,1,1.49,0.14,-0.07,4.528598,1.6e-05,-1.5e-05,888.0,16.0,-15.0,5106.0,70.0,-61.0,0.78,0.02,-0.02,0.84,0.02,-0.02,0.10500000000000001,1.55e-05,15.5,0.02,0.02,0.02,0
K2-268 e,K2-268,1,1.33,0.11,-0.08,6.131243,3.2e-05,-3.3e-05,801.0,13.0,-13.0,5106.0,70.0,-61.0,0.78,0.02,-0.02,0.84,0.02,-0.02,0.095,3.2500000000000004e-05,13.0,0.02,0.02,0.02,0
K2-268 f,K2-268,1,2.23,0.15,-0.09,26.27057,0.000105,-0.000109,492.0,8.0,-10.0,5106.0,70.0,-61.0,0.78,0.02,-0.02,0.84,0.02,-0.02,0.12,0.000107,9.0,0.02,0.02,0.02,0
K2-269 b,K2-269,1,1.57,0.12,-0.12,4.144965,0.000817,-0.000619,1429.0,37.0,-37.0,6209.0,88.0,-88.0,1.45,0.06,-0.06,1.16,0.04,-0.04,0.12,0.000718,37.0,0.06,0.06,0.04,0
K2-27 b,K2-27,1,4.74,0.13,-0.06,6.771347,5.9e-05,-5.9e-05,836.0,24.0,-24.0,5246.0,100.0,-100.0,0.876,0.036,-0.036,0.88,0.03,-0.03,0.095,5.9e-05,24.0,0.036,0.036,0.03,0
K2-270 b,K2-270,1,1.38,0.11,-0.11,1.543069,0.000189,-0.000185,1203.0,17.0,-17.0,4877.0,58.0,-58.0,0.77,0.01,-0.01,0.85,0.02,-0.02,0.11,0.000187,17.0,0.01,0.01,0.02,0
K2-270 c,K2-270,1,2.95,0.16,-0.16,4.400028,0.000169,-0.000178,848.0,12.0,-12.0,4877.0,58.0,-58.0,0.77,0.01,-0.01,0.85,0.02,-0.02,0.16,0.0001735,12.0,0.01,0.01,0.02,0
K2-271 b,K2-271,1,7.28,0.23,-0.23,8.562421,0.000127,-0.000127,893.0,17.0,-17.0,5644.0,71.0,-71.0,0.99,0.03,-0.03,0.83,0.03,-0.03,0.23,0.000127,17.0,0.03,0.03,0.03,0
K2-272 b,K2-272,1,3.13,0.38,-0.21,14.4536756,2.43e-05,-2.4e-05,747.0,82.0,-65.0,5397.0,105.0,-96.0,0.83,0.03,-0.03,0.86,0.05,-0.05,0.295,2.415e-05,73.5,0.03,0.03,0.05,0
K2-273 b,K2-273,1,3.05,0.23,-0.12,11.7195663,1.34e-05,-1.35e-05,849.0,7.0,-29.0,5161.0,53.0,-47.0,0.85,0.02,-0.02,0.89,0.03,-0.03,0.175,1.345e-05,18.0,0.02,0.02,0.03,0
K2-274 b,K2-274,1,2.08,0.12,-0.07,14.1330314,2.82e-05,-2.82e-05,655.0,0.0,-20.0,5044.0,43.0,-42.0,0.7,0.01,-0.01,0.79,0.01,-0.01,0.095,2.82e-05,10.0,0.01,0.01,0.01,0
K2-275 b,K2-275,1,2.34,0.25,-0.27,3.2809626,1.6e-06,-1.6e-06,1166.0,0.0,-216.0,4841.0,39.0,-37.0,0.69,0.01,-0.01,0.77,0.01,-0.01,0.26,1.6e-06,108.0,0.01,0.01,0.01,0
K2-275 c,K2-275,1,2.21,0.08,-0.06,8.4388385,7.5e-06,-6.7e-06,653.0,3.0,-17.0,4841.0,39.0,-37.0,0.69,0.01,-0.01,0.77,0.01,-0.01,0.07,7.1e-06,10.0,0.01,0.01,0.01,0
K2-276 b,K2-276,1,3.77,0.21,-0.21,18.718269,0.003153,-0.003008,583.0,10.0,-9.0,5139.0,62.0,-62.0,0.85,0.02,-0.02,0.82,0.02,-0.02,0.21,0.0030805,9.5,0.02,0.02,0.02,0
K2-277 b,K2-277,1,2.18575124,0.20176165,-0.12329879,6.326768,1.5e-05,-1.2e-05,1049.0,15.0,-15.0,5680.0,120.0,-120.0,0.973,0.038,-0.035,0.974,0.053,-0.058,0.16253022,1.35e-05,15.0,0.036500000000000005,0.036500000000000005,0.0555,0
K2-278 b,K2-278,1,2.98,0.23,-0.23,3.334966,0.000701,-0.000859,1711.0,101.0,-101.0,6747.0,383.0,-383.0,1.61,0.05,-0.05,1.4,0.08,-0.08,0.23,0.00078,101.0,0.05,0.05,0.08,0
K2-279 b,K2-279,1,1.21,0.14,-0.14,7.122605,0.001647,-0.001601,879.0,14.0,-14.0,5558.0,70.0,-70.0,0.86,0.01,-0.01,0.79,0.03,-0.03,0.14,0.001624,14.0,0.01,0.01,0.03,0
K2-28 b,K2-28,1,2.32,0.24,-0.24,2.260455,4.1e-05,-4.1e-05,568.0,35.0,-35.0,3214.0,60.0,-60.0,0.288,0.028,-0.028,0.257,0.048,-0.048,0.24,4.1e-05,35.0,0.028,0.028,0.048,0
K2-280 b,K2-280,1,7.5,0.44,-0.44,19.89526,0.00028,-0.00028,787.0,17.0,-17.0,5500.0,100.0,-100.0,1.28,0.07,-0.07,1.03,0.03,-0.03,0.44,0.00028,17.0,0.07,0.07,0.03,0
K2-281 b,K2-281,1,8.18,0.21,-0.21,8.687721,0.000151,-0.00015,665.0,12.0,-12.0,4812.0,72.0,-72.0,0.76,0.01,-0.01,0.82,0.03,-0.03,0.21,0.0001505,12.0,0.01,0.01,0.03,0
K2-283 b,K2-283,1,3.52,0.16,-0.16,1.921036,5.1e-05,-5.3e-05,1186.0,20.0,-20.0,5060.0,70.0,-70.0,0.82,0.01,-0.01,0.89,0.03,-0.03,0.16,5.2000000000000004e-05,20.0,0.01,0.01,0.03,0
K2-284 b,K2-284,1,2.78,0.14,-0.12,4.795069,8.6e-05,-8.6e-05,653.0,16.0,-14.0,4140.0,50.0,-50.0,0.607,0.022,-0.022,0.63,0.01,-0.01,0.13,8.6e-05,15.0,0.022,0.022,0.01,0
K2-285 b,K2-285,1,2.59,0.06,-0.06,3.471745,4.4e-05,-4.6e-05,1088.9,22.1,-21.9,4975.0,95.0,-95.0,0.787,0.016,-0.016,0.83,0.023,-0.023,0.06,4.4999999999999996e-05,22.0,0.016,0.016,0.023,0
K2-285 c,K2-285,1,3.53,0.08,-0.08,7.138048,7.2e-05,-6.3e-05,741.4,14.5,-14.5,4975.0,95.0,-95.0,0.787,0.016,-0.016,0.83,0.023,-0.023,0.08,6.75e-05,14.5,0.016,0.016,0.023,0
K2-285 d,K2-285,1,2.48,0.06,-0.06,10.45582,0.00025,-0.00023,619.9,12.7,-12.5,4975.0,95.0,-95.0,0.787,0.016,-0.016,0.83,0.023,-0.023,0.06,0.00024,12.6,0.016,0.016,0.023,0
K2-285 e,K2-285,1,1.95,0.05,-0.05,14.76289,0.00065,-0.00061,500.9,10.1,-9.9,4975.0,95.0,-95.0,0.787,0.016,-0.016,0.83,0.023,-0.023,0.05,0.0006299999999999999,10.0,0.016,0.016,0.023,0
K2-286 b,K2-286,1,2.1,0.2,-0.2,27.359,0.005,-0.005,347.0,21.0,-11.0,3926.0,100.0,-100.0,0.62,0.02,-0.02,0.64,0.02,-0.02,0.2,0.005,16.0,0.02,0.02,0.02,0
K2-287 b,K2-287,1,9.494023,0.145717,-0.145717,14.893291,2.5e-05,-2.5e-05,804.0,8.0,-7.0,5695.0,58.0,-58.0,1.07,0.01,-0.01,1.056,0.022,-0.022,0.145717,2.5e-05,7.5,0.01,0.01,0.022,0
K2-288 B b,K2-288 B,1,1.9,0.3,-0.3,31.393463,6.7e-05,-6.9e-05,226.36,22.3,-22.3,3341.0,276.0,-276.0,0.32,0.03,-0.03,0.33,0.02,-0.02,0.3,6.8e-05,22.3,0.03,0.03,0.02,0
K2-289 b,K2-289,1,9.1,0.3,-0.3,13.156969,4.7e-05,-5.1e-05,753.0,16.0,-16.0,5529.0,77.0,-74.0,1.025,0.03,-0.028,0.953,0.037,-0.051,0.3,4.9e-05,16.0,0.028999999999999998,0.028999999999999998,0.044,0
K2-29 b,K2-29,1,13.33871,0.22418,-0.22418,3.2588321,1.9e-06,-1.9e-06,1171.0,10.0,-10.0,5358.0,38.0,-38.0,0.86,0.01,-0.01,0.94,0.02,-0.02,0.22418,1.9e-06,10.0,0.01,0.01,0.02,0
K2-290 b,K2-290,1,3.06,0.16,-0.16,9.21165,0.00033,-0.00034,1230.0,38.0,-38.0,6302.0,120.0,-120.0,1.511,0.075,-0.072,1.194,0.067,-0.077,0.16,0.000335,38.0,0.0735,0.0735,0.07200000000000001,0
K2-290 c,K2-290,1,11.276254,0.56045,-0.56045,48.36685,0.00041,-0.0004,676.0,16.0,-16.0,6302.0,120.0,-120.0,1.511,0.075,-0.072,1.194,0.067,-0.077,0.56045,0.000405,16.0,0.0735,0.0735,0.07200000000000001,0
K2-292 b,K2-292,1,2.63,0.11,-0.1,16.9841,0.0008,-0.0008,795.0,33.0,-28.0,5725.0,65.0,-65.0,1.09,0.03,-0.03,1.0,0.03,-0.03,0.10500000000000001,0.0008,30.5,0.03,0.03,0.03,0
K2-293 b,K2-293,1,2.45,0.35,-0.25,13.1225,0.0011,-0.0012,750.0,170.0,-50.0,5532.0,78.0,-78.0,0.947,0.089,-0.055,0.958,0.036,-0.034,0.3,0.00115,110.0,0.072,0.072,0.035,0
K2-294 b,K2-294,1,1.66,0.21,-0.19,2.50387,0.00022,-0.00023,1425.0,79.0,-54.0,5612.0,50.0,-50.0,1.2,0.13,-0.12,0.987,0.034,-0.03,0.2,0.000225,66.5,0.125,0.125,0.032,0
K2-295 b,K2-295,1,10.054473,0.123299,-0.056045,4.024867,1.5e-05,-1.5e-05,852.0,14.0,-6.0,4444.0,70.0,-70.0,0.7,0.02,-0.02,0.74,0.04,-0.04,0.089672,1.5e-05,10.0,0.02,0.02,0.04,0
