pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
TOI-954 b,TOI-954,1,9.550068,0.594077,-0.694958,3.6849729,2.7e-06,-2.8e-06,1526.0,123.0,-164.0,5710.0,53.0,-49.0,1.892,0.077,-0.076,1.201,0.066,-0.064,0.6445175,2.75e-06,143.5,0.0765,0.0765,0.065,0
TOI-969 b,TOI-969,1,2.765,0.088,-0.097,1.8237305,2e-06,-2.1e-06,941.0,31.0,-31.0,4435.0,80.0,-80.0,0.671,0.015,-0.015,0.734,0.014,-0.014,0.0925,2.05e-06,31.0,0.015,0.015,0.014,0
TrES-5 b,TrES-5,1,13.383546,0.168135,-0.168135,1.48224686,6.14e-06,-6.14e-06,1480.0,13.0,-13.0,5171.0,36.0,-36.0,0.868,0.013,-0.013,0.901,0.03,-0.03,0.168135,6.14e-06,13.0,0.013,0.013,0.03,0
V1298 Tau b,V1298 Tau,1,9.41,0.57,-0.57,24.140006,1.7e-05,-1.7e-05,666.0,25.0,-25.0,4970.0,120.0,-120.0,1.32,0.05,-0.05,1.1,0.05,-0.05,0.57,1.7e-05,25.0,0.05,0.05,0.05,0
V1298 Tau c,V1298 Tau,1,5.08,0.37,-0.37,8.249164,3e-06,-3e-06,953.0,36.0,-36.0,4970.0,120.0,-120.0,1.32,0.05,-0.05,1.1,0.05,-0.05,0.37,3e-06,36.0,0.05,0.05,0.05,0
V1298 Tau d,V1298 Tau,1,6.53,0.42,-0.42,12.401394,9e-06,-9e-06,831.0,31.0,-31.0,4970.0,120.0,-120.0,1.32,0.05,-0.05,1.1,0.05,-0.05,0.42,9e-06,31.0,0.05,0.05,0.05,0
V1298 Tau e,V1298 Tau,1,10.17,0.75,-0.75,48.677714,5.3e-05,-5.3e-05,527.0,20.0,-20.0,4970.0,120.0,-120.0,1.32,0.05,-0.05,1.1,0.05,-0.05,0.75,5.3e-05,20.0,0.05,0.05,0.05,0
WASP-10 b,WASP-10,1,12.106,0.224,-0.224,3.0927616,1.12e-05,-1.12e-05,1370.0,50.0,-50.0,4675.0,100.0,-100.0,0.698,0.012,-0.012,0.75,0.04,-0.028,0.224,1.12e-05,50.0,0.012,0.012,0.034,0
WASP-102 b,WASP-102,1,14.90794433,0.56044903,-0.56044903,2.709813,3e-07,-3e-07,1671.0,65.0,-65.0,5990.0,100.0,-100.0,1.375,0.048,-0.048,1.08,0.07,-0.07,0.56044903,3e-07,65.0,0.048,0.048,0.07,0
WASP-103 b,WASP-103,1,17.127,0.818,-0.527,0.925542,1.9e-05,-1.9e-05,2508.0,75.0,-70.0,6110.0,160.0,-160.0,1.436,0.052,-0.031,1.22,0.039,-0.036,0.6725,1.9e-05,72.5,0.041499999999999995,0.041499999999999995,0.0375,0
WASP-104 b,WASP-104,1,12.745,0.415,-0.415,1.7554137,1.8e-06,-3.6e-06,1516.0,39.0,-39.0,5475.0,127.0,-127.0,0.963,0.027,-0.027,1.076,0.049,-0.049,0.415,2.7e-06,39.0,0.027,0.027,0.049,0
WASP-105 b,WASP-105,1,10.76064,0.33627,-0.33627,7.87288,1e-05,-1e-05,900.0,20.0,-20.0,5070.0,130.0,-130.0,0.9,0.03,-0.03,0.89,0.09,-0.09,0.33627,1e-05,20.0,0.03,0.03,0.09,0
WASP-110 b,WASP-110,1,13.19297028,0.31385146,-0.26901554,3.7784022,1.6e-06,-1.6e-06,1158.0,95.0,-95.0,5392.0,50.0,-50.0,0.853,0.011,-0.011,0.814,0.014,-0.022,0.2914335,1.6e-06,95.0,0.011,0.011,0.018,0
WASP-113 b,WASP-113,1,15.793481,1.076064,-1.56926,4.54216874538,4.2e-06,-4.2e-06,1496.0,60.0,-60.0,5890.0,140.0,-140.0,1.608,0.09,-0.12,1.318,0.069,-0.069,1.322662,4.2e-06,60.0,0.105,0.105,0.069,0
WASP-114 b,WASP-114,1,15.008851,0.717376,-0.717376,1.5487743,1.2e-06,-9.1e-07,2043.0,58.0,-58.0,5940.0,140.0,-140.0,1.43,0.06,-0.06,1.289,0.053,-0.053,0.717376,1.055e-06,58.0,0.06,0.06,0.053,0
WASP-116 b,WASP-116,1,13.67495645,0.67253884,-0.67253884,6.6132,2e-06,-2e-06,1414.0,70.0,-70.0,6250.0,125.0,-125.0,1.426,0.064,-0.064,1.25,0.08,-0.08,0.67253884,2e-06,70.0,0.064,0.064,0.08,0
WASP-118 b,WASP-118,1,16.14096,0.403524,-0.403524,4.0460435,4.4e-06,-4.4e-06,1729.0,36.0,-36.0,6410.0,125.0,-125.0,1.696,0.029,-0.029,1.32,0.035,-0.035,0.403524,4.4e-06,36.0,0.029,0.029,0.035,0
WASP-119 b,WASP-119,1,15.6926,2.2418,-2.2418,2.49979,1e-05,-1e-05,1600.0,80.0,-80.0,5650.0,100.0,-100.0,1.2,0.1,-0.1,1.02,0.06,-0.06,2.2418,1e-05,80.0,0.1,0.1,0.06,0
WASP-121 b,WASP-121,1,19.52604438,0.06725388,-0.06725388,1.27492504,1.5e-07,-1.5e-07,2409.0,24.0,-24.0,6628.0,66.0,-66.0,1.461,0.005,-0.005,1.33,0.019,-0.019,0.06725388,1.5e-07,24.0,0.005,0.005,0.019,0
WASP-124 b,WASP-124,1,13.89916,0.33627,-0.33627,3.37265,1e-06,-1e-06,1400.0,30.0,-30.0,6050.0,100.0,-100.0,1.02,0.02,-0.02,1.07,0.05,-0.05,0.33627,1e-06,30.0,0.02,0.02,0.05,0
WASP-129 b,WASP-129,1,10.42437,0.33627,-0.33627,5.748145,4e-06,-4e-06,1100.0,25.0,-25.0,5900.0,100.0,-100.0,0.9,0.02,-0.02,1.0,0.03,-0.03,0.33627,4e-06,25.0,0.02,0.02,0.03,0
